,Population,zip code,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000"
521,11764,99114,5011.0,9.2,5.7,11.0,11.7,17.2,17.6,12.6,10.4,2.8,1.7
522,882,99118,323.0,14.9,5.6,12.1,11.5,12.4,15.2,10.8,12.7,2.2,2.8
523,328,99124,145.0,9.0,12.4,10.3,11.0,23.4,10.3,11.7,6.9,3.4,1.4
524,1154,99126,394.0,1.5,10.2,11.4,12.9,27.4,6.9,20.3,3.8,0.0,5.6
525,779,99130,346.0,5.2,7.5,12.4,9.5,14.2,21.1,12.7,13.9,2.3,1.2
526,1675,99133,754.0,15.4,6.0,8.6,12.7,19.5,16.3,6.5,12.7,0.5,1.7
527,340,99137,152.0,2.0,2.6,13.8,21.1,25.0,20.4,9.2,5.9,0.0,0.0
528,435,99140,152.0,28.9,4.6,19.7,6.6,7.2,9.2,9.9,13.8,0.0,0.0
529,640,99143,295.0,8.5,6.8,11.2,11.9,16.9,17.6,8.8,10.2,5.1,3.1
530,1482,99159,643.0,5.8,8.9,14.0,5.9,17.0,19.3,11.7,11.0,3.7,2.8
531,116,99160,84.0,36.9,19.0,23.8,3.6,4.8,8.3,3.6,0.0,0.0,0.0
532,1422,99161,620.0,3.7,4.0,7.3,9.7,17.7,23.7,12.6,12.9,6.6,1.8
533,1774,99173,621.0,7.1,7.7,27.4,18.7,16.7,10.1,7.2,5.0,0.0,0.0
534,19730,99202,6850.0,16.3,10.5,14.0,10.5,17.7,13.3,7.8,4.7,3.9,1.4
535,18864,99217,7075.0,9.3,6.0,10.8,9.8,17.6,20.7,12.7,8.3,1.9,3.0
536,301,99335,117.0,0.0,4.3,3.4,16.2,29.9,25.6,6.8,11.1,2.6,0.0
537,744,99341,283.0,11.7,7.4,9.5,12.0,10.6,17.3,13.8,12.4,5.3,0.0
538,170,99345,62.0,0.0,0.0,1.6,6.5,32.3,24.2,8.1,8.1,3.2,16.1
539,1402,99360,444.0,1.6,1.1,8.8,4.1,12.2,20.0,18.5,18.9,8.8,6.1
540,8488,99005,2804.0,1.3,0.6,6.8,6.4,10.4,13.7,20.3,24.9,10.0,5.7
541,720,99023,247.0,4.5,0.0,0.0,7.7,16.2,12.1,21.1,3.2,29.6,5.7
542,3169,98610,1179.0,11.1,9.4,12.5,12.6,15.8,11.8,10.2,11.5,4.2,1.0
543,1487,98617,468.0,3.0,0.0,6.4,4.5,28.6,22.2,13.0,9.8,8.1,4.3
544,498,98619,196.0,8.2,5.1,10.7,12.2,17.3,20.9,12.8,9.7,0.5,2.6
545,0,98641,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
546,816,98651,323.0,1.9,1.2,5.3,11.1,21.1,20.7,13.0,14.9,2.2,8.7
547,22896,98671,8134.0,3.9,2.0,7.7,7.6,12.6,16.9,19.3,18.8,6.6,4.5
548,21908,98022,8474.0,4.2,3.3,8.7,9.1,12.5,16.8,11.5,19.4,9.1,5.4
549,50333,98023,17681.0,2.7,2.5,6.8,7.7,12.3,18.8,14.7,21.5,7.1,5.9
550,36844,98026,14559.0,2.0,1.8,6.8,5.2,10.8,19.3,15.6,19.3,10.8,8.5
551,28879,98027,11142.0,4.0,1.3,3.5,3.7,9.7,14.3,11.6,21.4,13.4,17.2
552,26486,98029,10547.0,4.0,2.0,3.0,5.3,7.7,11.8,13.9,21.0,11.6,19.7
553,38536,98036,14215.0,5.0,3.9,9.6,6.9,11.7,17.4,12.2,16.1,11.0,6.3
