,Population,zip code,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000"
109,50258,98115,21330.0,4.9,2.1,5.1,5.9,9.1,13.2,10.8,19.7,11.4,17.8
110,2727,98295,946.0,3.5,6.3,7.0,12.5,19.3,23.9,11.3,12.9,2.9,0.4
111,64,98297,33.0,0.0,12.1,21.2,33.3,9.1,24.2,0.0,0.0,0.0,0.0
112,1150,98303,614.0,7.0,4.1,7.0,14.8,18.6,11.9,18.2,3.1,7.2,8.1
113,20499,98310,8682.0,7.0,5.0,11.1,9.8,15.3,23.0,14.0,10.0,3.7,1.1
114,1422,98342,590.0,4.1,3.6,8.6,5.6,10.3,21.0,15.8,16.8,7.8,6.4
115,350,98381,188.0,11.2,0.0,4.8,3.2,27.1,15.4,25.0,13.3,0.0,0.0
116,27454,98382,12640.0,4.9,5.6,11.2,12.7,17.3,19.1,12.4,10.9,3.4,2.4
117,1219,98394,475.0,6.1,8.4,1.7,13.9,12.0,27.4,2.5,19.6,7.4,1.1
118,23034,98406,9553.0,6.1,3.9,9.5,7.1,11.7,17.5,16.4,17.2,6.6,3.9
119,10705,98424,3874.0,4.3,2.7,7.9,10.7,14.8,21.6,15.7,14.7,5.2,2.4
120,37678,98503,14930.0,5.9,2.8,7.9,11.8,15.1,22.6,16.0,13.7,3.2,1.1
121,258,98526,97.0,11.3,5.2,4.1,18.6,20.6,21.6,0.0,15.5,3.1,0.0
122,9402,98528,3202.0,4.2,4.7,11.5,8.1,11.5,23.5,13.6,13.7,4.2,4.9
123,24078,98532,8951.0,5.8,5.5,12.1,12.9,12.3,19.2,12.7,13.2,4.3,1.9
124,560,98552,218.0,9.2,1.4,17.9,16.1,11.5,39.0,5.0,0.0,0.0,0.0
125,4174,98570,1554.0,3.9,7.3,6.2,12.4,20.5,26.1,11.3,10.0,2.2,0.0
126,2780,98595,1231.0,8.0,4.5,17.1,15.4,21.6,14.1,6.5,10.6,1.8,0.4
127,7027,98596,2522.0,7.1,3.8,15.0,11.6,20.7,15.9,13.0,10.5,2.2,0.2
128,1165,98605,417.0,5.0,5.3,15.3,8.9,12.7,24.0,13.9,13.4,1.4,0.0
129,22489,98597,7957.0,7.6,6.4,6.9,8.9,14.0,24.8,15.7,10.5,3.4,1.9
130,12963,98057,5854.0,7.8,8.6,13.2,9.8,15.1,17.6,11.9,11.4,1.8,2.8
131,27184,98074,8913.0,2.0,1.0,1.5,2.7,2.9,6.7,7.0,23.6,20.4,32.3
132,73,98670,38.0,18.4,10.5,0.0,26.3,0.0,13.2,15.8,15.8,0.0,0.0
133,1814,98847,626.0,8.9,3.5,7.8,9.1,32.3,18.4,8.8,2.2,0.0,8.9
134,385,98940,200.0,12.0,0.0,0.0,0.0,37.0,8.5,7.5,27.0,0.0,8.0
135,1796,98586,733.0,7.9,3.0,19.2,16.5,19.4,18.1,7.2,8.6,0.0,0.0
136,44829,98661,17838.0,6.4,6.5,13.6,11.7,16.6,18.2,12.3,9.8,2.3,2.5
137,2900,98828,873.0,4.7,0.0,14.1,13.5,7.4,32.8,13.3,11.0,0.0,3.2
138,5079,98932,1269.0,4.8,1.7,15.0,11.5,25.8,25.1,8.0,7.1,0.7,0.3
139,5143,98010,1981.0,4.2,1.6,6.2,8.4,8.4,24.3,8.0,20.1,9.2,9.5
140,22632,98126,9749.0,6.7,3.8,7.6,5.9,12.9,16.3,11.4,16.0,10.5,8.9
141,9799,98541,3586.0,10.0,7.4,15.4,10.5,11.5,15.3,12.4,11.4,3.2,2.9
142,15906,98230,6608.0,7.6,5.3,8.4,7.1,13.4,22.5,11.9,13.8,5.1,4.8
143,7575,98563,3023.0,4.8,4.5,9.3,6.3,19.0,21.9,12.9,12.9,2.4,6.0
144,2018,98537,797.0,0.3,5.5,7.3,11.8,16.9,25.5,17.1,10.8,2.5,2.4
145,3118,98546,1134.0,2.8,0.8,6.8,11.4,10.1,25.7,16.2,17.7,5.1,3.3
146,639,98571,146.0,0.0,0.0,0.0,0.0,32.9,43.2,0.0,11.0,0.0,13.0
147,13634,99201,6536.0,22.9,10.8,16.9,12.1,10.9,13.9,5.7,3.6,1.8,1.5
148,17311,99344,4780.0,6.3,4.2,14.3,11.9,16.1,22.7,11.5,10.0,2.0,1.0
149,2310,99347,986.0,6.1,3.1,14.4,8.4,14.5,22.0,19.8,9.9,1.3,0.4
150,13359,99350,4704.0,6.3,5.9,7.7,9.3,14.2,27.5,11.2,10.3,3.0,4.7
151,19492,99004,6980.0,14.3,4.9,12.1,10.4,14.3,16.4,11.3,12.8,1.8,1.7
152,8890,99022,3320.0,6.1,4.7,8.9,10.0,13.2,24.0,13.6,12.3,4.9,2.3
153,12928,99037,5285.0,3.6,3.6,7.9,11.3,17.3,18.8,13.1,14.6,6.0,3.9
154,5245,99109,2251.0,7.5,6.2,13.8,18.9,13.9,20.3,10.6,5.5,3.1,0.2
155,231,99356,93.0,0.0,1.1,32.3,15.1,18.3,17.2,7.5,3.2,4.3,1.1
156,394,99363,55.0,0.0,0.0,70.9,0.0,29.1,0.0,0.0,0.0,0.0,0.0
157,1239,98603,483.0,10.4,0.0,7.2,6.2,15.7,26.3,12.2,16.1,4.1,1.7
158,179,98614,99.0,0.0,37.4,32.3,0.0,13.1,0.0,17.2,0.0,0.0,0.0
159,454,98628,169.0,13.6,6.5,16.6,24.3,14.8,13.6,4.7,5.9,0.0,0.0
160,8382,98629,2835.0,5.2,1.5,2.8,4.3,13.6,20.0,18.0,21.9,4.8,7.8
161,32457,98662,12007.0,4.4,2.6,11.0,10.3,15.7,22.3,14.0,14.0,3.7,2.1
162,28145,98685,10107.0,1.9,3.5,8.2,7.4,9.0,14.1,17.0,19.2,9.8,10.0
163,42670,98801,14958.0,6.0,5.2,11.6,10.0,15.4,18.7,12.5,13.2,3.3,3.9
164,3017,98813,865.0,2.1,5.9,17.3,9.9,27.5,28.3,6.5,1.7,0.3,0.3
165,274,98817,117.0,43.6,0.0,14.5,0.0,12.8,29.1,0.0,0.0,0.0,0.0
166,464,98830,239.0,7.9,5.0,16.3,5.4,14.2,19.2,19.7,7.5,4.2,0.4
167,4532,98844,2077.0,6.9,9.6,15.3,18.1,15.6,14.5,9.0,7.0,3.9,0.0
168,1250,98849,479.0,2.7,4.4,7.3,18.8,16.7,30.1,9.2,10.4,0.0,0.4
169,1057,98934,402.0,4.5,4.7,14.9,15.2,15.2,20.6,16.2,8.7,0.0,0.0
170,41740,98226,16294.0,7.1,5.1,10.9,8.1,11.5,19.4,15.8,13.5,5.5,3.2
171,3108,98244,1253.0,11.3,4.5,5.5,14.4,13.3,22.1,8.9,16.9,1.4,1.7
172,28509,98271,10204.0,4.5,2.7,5.6,6.9,14.1,24.1,15.0,16.7,7.4,2.9
173,1625,98325,702.0,3.7,3.1,0.0,15.1,10.5,31.1,14.7,17.4,4.4,0.0
174,442,98345,189.0,0.0,0.0,0.0,4.2,17.5,36.0,18.5,19.6,0.0,4.2
175,6765,98337,2999.0,10.9,10.0,11.6,14.3,9.7,17.7,14.7,5.3,4.9,0.7
176,26856,98338,9117.0,3.9,2.9,5.1,4.5,13.3,23.3,19.8,19.2,4.2,3.7
177,19585,98408,7072.0,8.0,3.6,12.2,10.1,14.5,22.0,12.9,11.4,2.3,2.8
178,10016,98346,3778.0,3.9,3.6,5.8,12.5,10.1,15.1,18.3,18.8,6.3,5.5
179,1668,98376,786.0,10.6,7.6,12.2,13.6,12.7,14.4,5.5,17.6,3.6,2.3
180,303,98385,112.0,0.9,27.7,6.3,0.0,10.7,19.6,16.1,12.5,6.3,0.0
181,23411,98409,9466.0,8.5,5.2,11.2,11.8,15.0,23.3,11.5,11.7,1.5,0.3
182,34771,98444,12772.0,8.8,7.6,13.0,13.4,19.9,18.9,8.5,7.5,1.8,0.6
183,30869,98445,10809.0,3.6,4.3,6.2,8.2,14.5,26.2,18.0,13.0,3.5,2.5
184,18418,98506,7932.0,5.3,5.5,8.2,7.5,11.9,22.7,12.6,15.9,5.7,4.7
185,34174,98513,12379.0,4.4,2.3,5.0,7.0,13.1,23.5,17.1,18.1,6.2,3.2
186,593,98530,216.0,22.7,6.0,13.9,7.4,19.4,15.7,6.5,7.4,0.0,0.9
187,236,98538,97.0,3.1,8.2,7.2,13.4,17.5,11.3,14.4,14.4,8.2,2.1
188,154,98834,67.0,4.5,7.5,0.0,19.4,14.9,6.0,16.4,25.4,0.0,6.0
189,14,98853,8.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
190,6559,98855,2802.0,8.7,10.7,16.1,8.5,19.0,16.0,7.6,9.6,2.1,1.6
191,2631,98856,1224.0,5.9,6.7,16.0,17.7,18.9,14.6,7.9,7.3,2.9,2.0
192,5959,98922,2637.0,3.3,7.3,14.5,10.9,10.6,22.1,14.2,12.2,1.2,3.7
193,31848,98926,12473.0,14.6,6.4,10.8,8.5,13.0,18.0,11.8,11.3,4.4,1.3
194,425,98643,204.0,2.5,2.0,13.2,15.7,12.3,23.0,10.3,21.1,0.0,0.0
195,1263,98645,465.0,1.1,8.2,4.1,10.1,16.8,14.0,20.9,15.7,9.2,0.0
196,2775,98648,1230.0,11.9,8.4,9.3,11.9,9.8,24.3,8.8,10.9,3.3,1.5
197,22018,98664,8823.0,2.9,2.6,9.6,12.8,18.3,22.6,8.9,14.6,3.1,4.6
198,26275,98665,9713.0,5.1,4.0,10.5,10.1,14.7,22.0,14.0,11.2,5.9,2.5
199,56211,98682,18565.0,3.2,2.8,7.6,9.7,13.7,21.8,18.4,16.1,4.5,2.2
200,19212,98686,7237.0,4.4,2.6,4.8,5.6,13.7,18.6,15.2,20.1,8.0,7.1
201,362,98821,170.0,32.9,30.6,0.0,0.0,25.9,0.0,10.6,0.0,0.0,0.0
202,2057,98822,801.0,11.1,6.4,7.4,9.6,16.0,18.0,14.1,12.5,4.5,0.5
203,41130,98837,14339.0,7.4,4.7,12.0,11.8,15.3,18.8,13.2,9.7,5.0,2.1
204,17015,98942,6188.0,4.5,3.6,8.7,9.8,14.1,23.6,13.3,14.6,4.0,3.8
205,22906,98055,9133.0,3.4,3.5,7.2,8.5,14.2,21.5,16.6,14.4,5.6,5.2
206,14642,98065,4703.0,0.5,0.6,1.6,2.0,4.5,7.1,18.7,26.0,19.6,19.3
207,49364,98103,23311.0,3.6,2.1,4.6,5.9,11.2,18.1,11.4,19.8,10.4,12.8
208,23082,98112,10645.0,4.6,1.3,3.0,5.2,8.3,12.1,9.8,17.6,11.3,26.8
209,30090,98144,12594.0,9.7,4.9,8.0,8.3,10.1,15.9,11.7,14.0,8.6,8.9
210,56922,98208,20028.0,3.7,2.2,6.2,7.2,11.3,17.0,18.9,20.9,8.4,4.3
211,849,98220,287.0,0.0,0.0,28.2,15.7,6.6,18.5,18.1,12.9,0.0,0.0
212,3126,98340,1409.0,7.8,3.1,7.5,7.0,12.5,13.6,11.6,27.8,8.2,0.9
213,20860,98221,9142.0,5.4,3.9,9.2,8.6,12.8,18.4,14.1,15.0,6.0,6.5
214,33124,98004,15598.0,4.3,2.7,4.6,5.2,6.4,10.6,9.4,21.0,12.6,23.4
215,18059,98005,7520.0,3.2,3.2,4.1,4.3,8.4,14.7,14.3,19.8,10.6,17.5
216,156,99131,88.0,6.8,8.0,10.2,11.4,12.5,25.0,8.0,0.0,10.2,8.0
217,27,99136,14.0,0.0,28.6,0.0,21.4,14.3,0.0,21.4,14.3,0.0,0.0
218,1455,99139,567.0,6.2,7.2,13.8,9.3,12.9,22.6,13.2,9.7,4.2,0.9
219,160,99152,74.0,0.0,2.7,6.8,8.1,10.8,47.3,9.5,9.5,5.4,0.0
220,1137,99155,401.0,24.4,13.0,14.2,12.2,8.7,13.5,6.5,4.0,1.7,1.7
221,817,99157,309.0,13.6,9.7,17.2,19.7,13.6,9.4,4.5,7.1,5.2,0.0
222,2521,99169,1010.0,6.3,5.0,11.9,9.4,20.3,18.1,9.1,10.4,7.9,1.6
223,992,99170,417.0,7.0,5.5,12.7,10.8,23.7,13.2,11.5,10.8,4.1,0.7
224,1267,99185,525.0,9.1,5.7,13.0,11.6,19.4,11.2,16.2,12.4,0.0,1.3
225,19090,99212,8169.0,7.3,6.8,9.5,13.1,14.7,21.2,9.9,11.4,3.8,2.1
226,222,99329,90.0,0.0,12.2,8.9,12.2,15.6,23.3,16.7,7.8,3.3,0.0
227,457,99346,182.0,0.0,8.2,13.2,12.6,10.4,22.0,11.0,22.5,0.0,0.0
228,517,98925,242.0,5.4,5.8,9.9,14.9,12.8,24.8,11.6,14.9,0.0,0.0
229,16599,98930,4591.0,3.8,6.2,13.6,13.6,20.2,20.6,10.0,8.9,2.0,1.0
230,12783,98205,4475.0,1.6,1.6,7.8,4.2,9.6,20.9,16.6,25.9,8.3,3.4
231,21017,98199,9267.0,1.7,1.1,5.1,5.1,11.7,14.9,13.0,14.4,13.8,19.2
232,28437,98201,12631.0,12.0,6.1,12.8,8.3,13.9,17.7,12.6,11.2,2.9,2.4
233,41576,98204,16574.0,7.1,5.1,11.7,10.3,19.6,21.9,10.1,10.8,2.3,1.1
234,4113,98232,1711.0,0.0,4.3,3.5,16.7,16.2,11.2,11.5,26.1,6.3,4.3
235,11,98238,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
236,2041,98241,818.0,7.2,8.9,9.9,8.7,13.7,22.4,9.4,14.5,1.6,3.7
237,10391,98247,3335.0,3.7,4.6,6.4,12.3,16.4,22.3,13.9,12.8,3.0,4.5
238,3292,98591,1448.0,4.6,6.7,6.8,20.2,14.9,21.7,11.3,11.5,1.4,1.0
239,210,98602,62.0,0.0,0.0,0.0,0.0,64.5,35.5,0.0,0.0,0.0,0.0
240,3595,98631,1725.0,10.3,9.2,14.6,12.5,13.2,14.8,15.5,7.6,1.3,0.9
241,1637,98635,770.0,3.6,5.1,11.6,26.0,18.3,21.6,2.9,4.3,6.8,0.0
242,332,98644,123.0,7.3,0.0,17.1,22.8,14.6,26.8,11.4,0.0,0.0,0.0
243,996,98650,332.0,3.9,3.3,8.1,5.7,16.0,27.7,15.7,7.8,10.2,1.5
244,570,98673,222.0,8.6,9.5,19.4,14.4,14.4,14.4,9.0,10.4,0.0,0.0
245,29791,98802,10788.0,4.0,3.2,10.1,11.3,14.0,22.6,15.2,13.1,4.5,1.9
246,5098,98812,1545.0,9.2,7.1,15.2,13.3,17.8,13.4,9.3,9.7,2.3,2.8
247,11336,98823,3745.0,5.3,5.3,9.5,8.2,12.6,23.6,19.9,11.6,0.7,3.2
248,6827,98826,2923.0,13.2,3.7,9.5,9.0,14.5,19.8,10.4,14.2,4.8,0.9
249,1894,98843,590.0,3.2,1.2,4.6,12.9,24.6,25.4,13.4,10.3,2.5,1.9
250,1394,98850,540.0,2.2,14.6,16.3,8.3,18.3,20.0,7.0,2.2,10.9,0.0
251,2285,98858,824.0,7.2,3.6,9.5,14.3,22.7,14.3,10.9,15.0,1.9,0.5
252,2360,98862,1001.0,5.9,7.2,5.8,11.2,11.0,22.6,24.0,5.0,5.0,2.4
253,1555,98923,380.0,0.0,3.9,9.7,13.4,16.3,44.5,4.5,3.4,4.2,0.0
254,1172,98933,347.0,3.2,2.6,5.8,14.4,28.8,18.2,6.6,15.9,2.9,1.7
255,3518,98938,764.0,13.4,0.0,8.8,3.4,6.3,16.8,23.2,19.5,1.0,7.7
256,13582,98951,3598.0,6.1,6.9,13.1,16.6,18.2,19.1,9.8,8.3,1.1,0.9
257,6936,98953,2033.0,0.3,4.0,7.3,5.4,19.4,28.4,11.7,17.3,2.5,3.6
258,47407,98003,18010.0,7.2,5.5,10.3,11.6,16.5,18.6,12.5,11.1,4.0,2.8
259,29885,98021,10334.0,3.5,1.5,3.8,4.0,7.2,14.6,12.3,23.4,14.0,15.7
260,36414,98032,13567.0,6.9,4.6,11.3,13.2,14.6,20.2,10.7,10.3,5.7,2.6
261,34932,98038,12084.0,2.2,1.7,3.7,3.3,7.5,17.1,16.5,25.9,11.4,10.7
262,21809,98053,8043.0,2.3,0.9,3.1,3.7,6.5,12.0,8.8,23.1,13.8,25.8
263,256,98068,108.0,0.0,0.0,2.8,0.0,13.9,24.1,7.4,39.8,12.0,0.0
264,4146,98249,1920.0,3.5,6.2,10.1,8.4,16.7,18.5,10.0,16.4,4.6,5.6
265,29539,98272,8855.0,3.3,2.0,6.4,5.1,10.4,19.1,16.2,22.8,8.5,6.2
266,37629,98033,15883.0,3.7,1.1,4.7,3.8,7.8,11.7,11.7,22.6,13.3,19.6
267,24467,98040,9820.0,4.7,1.6,4.3,4.0,4.7,9.2,9.4,18.4,11.9,31.7
268,135,98164,97.0,15.5,0.0,0.0,0.0,0.0,0.0,23.7,23.7,11.3,25.8
269,3099,98240,1174.0,1.5,0.0,6.4,9.4,6.0,42.2,18.0,12.3,3.0,1.3
270,0,99020,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
271,1341,99029,478.0,2.7,3.3,9.2,4.2,19.2,22.8,11.7,21.5,2.5,2.7
272,942,99030,397.0,6.5,2.3,5.5,11.8,8.6,18.9,28.7,13.6,4.0,0.0
273,449,99117,203.0,1.5,7.4,16.3,13.3,25.6,18.7,10.8,3.9,2.5,0.0
274,461,99125,224.0,16.1,4.9,11.2,16.5,12.1,17.0,14.7,6.3,0.9,0.4
275,20994,99203,9068.0,3.8,2.4,6.4,8.0,12.2,19.4,14.1,18.4,8.1,7.2
276,24912,98188,9631.0,7.6,4.9,12.8,12.7,15.1,21.3,10.3,9.1,4.1,2.3
277,34628,98203,13257.0,5.6,3.9,9.9,10.7,9.2,20.0,15.0,15.3,6.3,4.3
278,233,98224,139.0,11.5,12.2,15.8,15.8,15.1,11.5,18.0,0.0,0.0,0.0
279,49240,98225,19623.0,12.3,6.2,13.9,12.2,12.5,17.1,9.8,9.1,4.0,2.8
280,6004,98236,2639.0,3.2,1.9,8.5,5.9,15.2,22.3,14.8,15.1,7.0,6.1
281,7113,98239,3220.0,3.7,5.4,12.0,10.1,11.3,15.7,13.6,17.7,8.0,2.4
282,32370,98258,11052.0,4.2,1.5,3.5,5.4,9.7,18.6,18.2,24.9,9.4,4.7
283,760,98323,267.0,3.0,2.2,5.6,7.5,18.0,23.2,23.2,14.2,2.2,0.7
284,4509,98349,1783.0,5.8,8.6,4.8,8.3,18.6,25.6,12.1,7.2,5.4,3.6
285,433,98350,125.0,11.2,7.2,15.2,13.6,17.6,15.2,8.0,8.8,2.4,0.8
286,10682,98329,3818.0,1.5,4.4,5.8,9.1,13.2,20.0,16.1,15.8,8.3,5.7
287,31524,98312,12609.0,9.0,2.9,9.5,8.3,12.5,22.6,14.3,13.9,4.1,2.8
288,15144,98321,5082.0,3.1,2.6,6.1,7.6,9.1,17.3,17.0,22.6,10.9,3.7
289,9285,98327,3193.0,4.5,0.4,2.9,5.5,11.4,21.5,18.5,19.5,10.4,5.3
290,29,98353,15.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
291,12944,98360,4392.0,2.1,2.4,4.1,8.0,11.5,19.4,23.9,20.3,6.3,1.9
292,10822,98390,4278.0,5.0,3.1,9.4,8.1,17.4,18.8,11.9,16.5,6.2,3.5
293,25297,98531,9649.0,9.8,6.5,12.9,12.9,16.9,18.7,9.8,8.7,1.7,2.1
294,7395,98675,2015.0,5.4,4.7,7.3,6.8,13.3,22.0,11.8,15.5,9.5,3.7
295,376,98814,217.0,2.3,26.7,4.6,14.3,12.4,23.5,6.0,10.1,0.0,0.0
296,694,98829,226.0,5.3,13.3,20.4,9.3,13.3,22.6,8.4,7.5,0.0,0.0
297,318,98558,97.0,0.0,0.0,0.0,0.0,27.8,0.0,43.3,28.9,0.0,0.0
298,94,98583,54.0,13.0,0.0,13.0,31.5,29.6,0.0,0.0,13.0,0.0,0.0
299,502,98824,120.0,8.3,0.0,5.0,6.7,52.5,15.8,5.0,5.8,0.0,0.8
300,963,98921,239.0,0.0,0.0,39.3,60.7,0.0,0.0,0.0,0.0,0.0,0.0
301,0,98929,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
302,89,98939,43.0,60.5,20.9,0.0,0.0,0.0,18.6,0.0,0.0,0.0,0.0
303,6065,98672,2428.0,3.7,3.6,7.0,14.6,15.4,19.9,19.0,14.5,0.9,1.6
304,12234,98848,3562.0,3.5,2.7,14.3,10.5,15.8,27.4,14.4,8.0,2.5,1.0
305,545,98946,230.0,4.8,2.6,10.0,11.3,8.7,23.5,10.0,22.6,6.5,0.0
306,37213,98030,11789.0,9.4,3.6,8.2,10.5,13.8,19.0,12.4,16.2,4.3,2.5
307,186,98050,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9,53.1
308,2595,98261,1233.0,6.4,5.4,12.3,7.9,16.7,15.3,11.5,16.2,3.2,4.9
309,448,98267,225.0,21.8,10.2,20.0,2.2,31.1,0.0,0.0,8.0,6.7,0.0
310,48987,98270,17224.0,5.0,3.3,6.0,7.8,13.4,19.1,16.4,21.1,5.2,2.7
311,17580,98274,6562.0,5.0,2.2,7.3,9.0,14.3,21.7,13.2,17.4,4.3,5.5
312,155,98288,95.0,6.3,3.2,22.1,9.5,32.6,3.2,4.2,16.8,0.0,2.1
313,602,98304,311.0,4.2,10.9,8.0,0.0,35.4,22.2,8.4,8.0,2.9,0.0
314,37819,98006,13378.0,2.8,0.4,3.6,4.6,7.7,10.7,12.1,19.9,14.8,23.5
315,27050,98007,10639.0,6.8,3.4,5.8,3.7,8.6,16.9,12.1,21.0,9.8,11.8
316,31674,98011,12820.0,3.9,2.3,5.9,7.2,10.4,16.4,13.1,20.2,10.2,10.4
317,11272,98019,4098.0,3.7,2.2,5.1,3.3,7.5,11.6,13.0,21.0,18.0,14.6
318,6220,98024,2118.0,2.3,0.7,3.2,5.7,6.8,6.8,18.0,21.5,14.9,20.1
319,36990,98031,12382.0,3.7,4.2,6.7,6.6,13.3,19.1,13.3,19.4,8.4,5.4
320,42665,98034,17194.0,3.7,3.0,4.0,6.3,11.6,14.6,13.7,22.6,10.7,9.9
321,14484,98045,5426.0,4.2,2.8,4.8,3.9,12.0,11.9,13.4,23.0,12.1,11.9
322,3320,98051,1261.0,7.7,0.6,2.9,4.1,5.2,16.4,21.7,15.3,13.8,12.2
323,23006,98072,8695.0,3.6,1.6,2.6,5.7,7.6,12.3,11.4,21.2,14.6,19.2
324,13989,98104,7529.0,18.1,8.7,13.1,11.3,9.0,13.3,7.7,9.3,3.4,6.1
325,24179,98107,12429.0,3.9,2.7,4.5,7.2,7.9,17.5,16.5,21.3,7.4,11.1
326,32605,98168,11472.0,6.2,5.0,10.3,10.9,17.0,19.6,11.2,13.1,5.1,1.4
327,19925,98177,7951.0,3.7,2.4,4.1,6.8,7.4,15.7,11.6,19.4,11.7,17.3
328,41489,98223,15093.0,5.2,3.1,6.6,7.3,10.6,18.3,16.8,20.9,7.5,3.6
329,57,98235,41.0,0.0,0.0,58.5,0.0,0.0,0.0,29.3,12.2,0.0,0.0
330,3854,98245,1892.0,6.1,6.7,14.9,12.0,14.0,14.5,12.2,10.7,3.2,5.8
331,7683,98250,3536.0,4.6,4.0,7.7,8.9,13.0,20.0,15.5,14.3,5.0,7.0
332,1722,98253,890.0,6.2,12.2,7.6,6.4,11.6,15.3,13.3,11.1,6.7,9.6
333,16090,98136,7223.0,2.9,0.9,5.7,7.5,8.1,14.5,9.7,24.0,11.3,15.4
334,25234,98116,11860.0,3.5,1.5,6.2,7.6,11.2,13.8,11.4,17.5,14.9,12.4
335,44686,98118,16039.0,10.4,5.1,7.6,9.3,10.3,17.0,12.6,14.7,7.1,5.9
336,847,98134,199.0,8.5,7.0,2.0,4.5,20.1,28.1,10.6,13.1,6.0,0.0
337,0,98174,0.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0,-666666666.0
338,48,98222,27.0,0.0,0.0,14.8,7.4,0.0,22.2,0.0,7.4,7.4,40.7
339,14896,98233,5882.0,7.3,6.0,7.9,11.1,12.6,21.1,13.8,14.0,3.5,2.4
340,472,98243,217.0,5.5,4.6,0.0,9.2,7.4,8.3,23.0,30.4,7.8,3.7
341,562,98279,276.0,1.1,7.2,7.2,7.2,23.9,21.0,5.4,15.2,6.2,5.4
342,456,98280,252.0,2.8,2.4,5.2,27.8,8.7,6.7,10.7,11.5,8.3,15.9
343,27750,98311,9979.0,2.1,2.9,7.3,8.4,12.4,20.6,20.8,16.9,5.8,2.7
344,679,98326,258.0,18.2,16.3,2.7,11.2,18.6,22.9,10.1,0.0,0.0,0.0
345,17208,98332,6354.0,4.4,1.5,4.2,8.2,8.0,16.4,12.8,19.0,9.7,15.7
346,1608,98357,505.0,12.3,6.9,15.2,15.0,10.9,20.2,11.5,5.1,2.4,0.4
347,23026,98362,10010.0,8.4,6.4,11.4,11.2,15.2,17.9,13.6,10.2,3.5,2.0
348,32916,98366,12186.0,6.9,3.8,9.9,9.1,13.5,21.2,12.5,16.1,4.8,2.2
349,20409,98371,8312.0,4.8,4.2,7.4,8.5,13.3,23.2,12.3,17.3,5.4,3.7
350,20319,98383,8301.0,4.1,1.6,5.9,8.6,14.2,21.2,15.3,18.3,5.7,5.2
351,514,98533,255.0,7.1,3.5,0.0,17.3,17.3,40.4,10.6,3.9,0.0,0.0
352,1225,98638,493.0,4.3,5.1,8.9,15.0,13.8,21.9,14.4,10.5,2.2,3.9
353,779,98587,226.0,13.7,7.5,14.6,15.9,11.1,19.5,5.8,11.1,0.9,0.0
354,3316,98601,1042.0,1.1,3.1,13.0,13.2,9.3,20.0,20.7,14.2,5.5,0.0
355,2676,98612,1129.0,4.2,6.7,10.3,10.1,19.1,25.6,6.4,15.3,0.4,1.9
356,17519,98642,6291.0,2.4,2.5,4.1,6.9,9.4,17.9,15.2,21.5,8.2,11.9
357,19932,98264,7242.0,3.3,4.4,9.3,9.7,13.5,22.5,14.7,15.2,5.0,2.6
358,20994,98275,8047.0,2.4,1.1,3.6,5.1,7.3,16.1,14.9,23.8,11.8,13.9
359,1203,98281,650.0,5.8,9.7,8.8,16.8,15.4,16.8,9.1,6.9,6.3,4.5
360,21766,98292,8299.0,5.5,3.4,6.1,8.2,11.0,16.8,16.7,19.3,7.3,5.8
361,29124,98296,9689.0,3.5,0.9,4.3,2.6,4.3,10.2,19.8,23.6,15.4,15.4
362,328,98305,149.0,18.8,2.7,13.4,12.8,16.1,14.8,9.4,8.7,0.0,3.4
363,6382,98331,2439.0,10.7,7.4,13.7,18.8,16.1,16.3,9.6,6.2,0.5,0.7
364,875,98336,397.0,10.8,14.6,12.6,11.3,14.4,22.9,10.3,3.0,0.0,0.0
365,3197,98339,1360.0,4.9,8.7,11.7,14.9,9.3,26.9,7.1,13.4,2.1,1.0
366,2173,98356,920.0,9.8,5.4,12.7,21.3,15.5,22.9,7.7,4.6,0.0,0.0
367,1152,98358,478.0,5.2,0.0,8.8,10.5,12.8,37.0,9.2,6.7,6.9,2.9
368,24849,98372,9302.0,4.3,3.9,4.7,7.6,15.8,18.9,15.7,15.4,7.0,6.7
369,22885,98373,8550.0,3.0,2.6,6.9,10.0,15.9,21.3,15.6,14.0,6.6,4.0
370,29732,98375,9595.0,2.5,1.8,5.1,6.3,12.7,22.4,19.4,20.9,5.5,3.3
371,6556,98388,2520.0,5.5,2.9,5.2,8.0,11.9,20.8,13.5,18.4,6.0,7.9
372,3086,98392,1278.0,5.5,4.1,8.8,9.5,17.6,19.8,14.2,13.4,2.8,4.3
