Unnamed: 0.1,zip code,number_registration,Population,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000",EV charging station number
82,98433,47,18335,3958.0,3.2,0.9,6.4,17.9,27.0,28.3,11.0,4.9,0.3,0.0,1.0
83,99133,3,1675,754.0,15.4,6.0,8.6,12.7,19.5,16.3,6.5,12.7,0.5,1.7,0.0
84,98674,102,11776,4093.0,3.1,2.6,8.3,9.3,11.8,26.0,12.6,15.8,6.3,4.3,1.0
85,98626,82,24068,9098.0,10.0,6.1,10.7,10.4,15.0,20.1,11.6,12.0,3.3,0.9,16.0
86,98331,7,6382,2439.0,10.7,7.4,13.7,18.8,16.1,16.3,9.6,6.2,0.5,0.7,20.0
87,98648,35,2775,1230.0,11.9,8.4,9.3,11.9,9.8,24.3,8.8,10.9,3.3,1.5,8.0
88,99003,10,4744,1977.0,5.7,3.4,8.2,7.4,13.8,21.6,15.2,15.3,6.7,2.7,0.0
89,98337,23,6765,2999.0,10.9,10.0,11.6,14.3,9.7,17.7,14.7,5.3,4.9,0.7,16.0
90,98286,6,199,87.0,1.1,11.5,10.3,8.0,10.3,9.2,11.5,13.8,10.3,13.8,0.0
91,99180,3,1015,368.0,12.5,6.5,11.4,17.9,6.5,19.3,6.5,12.5,4.3,2.4,0.0
92,98596,23,7027,2522.0,7.1,3.8,15.0,11.6,20.7,15.9,13.0,10.5,2.2,0.2,0.0
93,99204,33,5832,3374.0,16.4,10.4,18.5,13.8,11.9,9.8,9.1,7.6,1.5,1.2,3.0
94,99403,27,20080,8474.0,7.5,6.9,12.8,13.6,16.0,16.9,11.8,8.7,4.8,1.1,2.0
95,98360,102,12944,4392.0,2.1,2.4,4.1,8.0,11.5,19.4,23.9,20.3,6.3,1.9,0.0
96,99006,39,12155,4354.0,4.6,3.4,8.1,11.4,16.7,19.0,16.3,14.7,3.8,2.1,2.0
97,99114,27,11764,5011.0,9.2,5.7,11.0,11.7,17.2,17.6,12.6,10.4,2.8,1.7,4.0
98,98812,8,5098,1545.0,9.2,7.1,15.2,13.3,17.8,13.4,9.3,9.7,2.3,2.8,0.0
99,98620,22,7095,2792.0,13.7,6.0,9.2,12.4,10.9,25.9,11.4,10.1,0.0,0.4,0.0
100,98592,22,1313,567.0,0.0,5.1,4.9,19.6,11.5,26.5,10.8,9.3,6.9,5.5,3.0
101,98947,3,3119,919.0,2.5,2.8,10.0,17.3,25.8,18.2,5.9,8.7,6.3,2.5,0.0
102,99023,4,720,247.0,4.5,0.0,0.0,7.7,16.2,12.1,21.1,3.2,29.6,5.7,0.0
103,98239,106,7113,3220.0,3.7,5.4,12.0,10.1,11.3,15.7,13.6,17.7,8.0,2.4,0.0
104,98355,5,638,276.0,14.9,10.5,16.7,12.0,6.5,7.6,13.0,17.0,1.8,0.0,0.0
105,98346,161,10016,3778.0,3.9,3.6,5.8,12.5,10.1,15.1,18.3,18.8,6.3,5.5,6.0
106,98077,48,14678,4895.0,4.3,0.4,1.3,3.4,6.8,8.2,12.7,17.5,15.2,30.1,0.0
107,99027,27,6169,2390.0,6.4,5.3,10.6,10.3,13.2,16.9,13.3,16.4,5.6,1.9,0.0
108,98908,128,35660,14286.0,3.7,4.2,8.6,11.4,16.0,18.6,13.8,14.6,5.3,3.8,2.0
109,99115,6,1303,477.0,7.5,5.2,11.3,9.9,15.3,19.3,17.0,8.6,3.8,2.1,1.0
110,98934,5,1057,402.0,4.5,4.7,14.9,15.2,15.2,20.6,16.2,8.7,0.0,0.0,0.0
111,98446,59,9887,3912.0,3.7,5.5,7.8,7.7,11.4,25.1,17.1,13.6,5.4,2.7,2.0
112,98946,5,545,230.0,4.8,2.6,10.0,11.3,8.7,23.5,10.0,22.6,6.5,0.0,0.0
113,98261,64,2595,1233.0,6.4,5.4,12.3,7.9,16.7,15.3,11.5,16.2,3.2,4.9,2.0
114,98376,26,1668,786.0,10.6,7.6,12.2,13.6,12.7,14.4,5.5,17.6,3.6,2.3,0.0
115,98801,169,42670,14958.0,6.0,5.2,11.6,10.0,15.4,18.7,12.5,13.2,3.3,3.9,38.0
116,98499,136,30630,12635.0,9.8,7.1,14.3,15.7,14.6,15.0,12.4,7.4,1.6,2.2,9.0
117,98635,19,1637,770.0,3.6,5.1,11.6,26.0,18.3,21.6,2.9,4.3,6.8,0.0,0.0
118,99326,10,6178,1349.0,6.4,7.9,16.1,5.3,9.7,28.3,14.3,9.3,2.3,0.4,1.0
119,99337,112,30222,10763.0,2.7,3.9,8.8,7.1,13.8,19.2,16.6,18.4,4.4,5.0,2.0
120,99324,22,9522,3684.0,7.1,5.5,14.2,14.4,18.5,17.6,9.4,9.1,2.9,1.4,2.0
