Unnamed: 0.1,zip code,number_registration,Population,household count,"<10,000","10,000~14,999","15,000~24,999","25,000~34,999","35,000~49,999","50,000~74,999","75,000~99,999","100,000~149,999","150,000~199,999",">200,000",EV charging station number,housing_price_index
56,98925,6,517,242,5.4,5.8,9.9,14.9,12.8,24.8,11.6,14.9,0,0,0,159.75
57,99135,1,363,132,5.3,0.8,6.1,4.5,10.6,24.2,15.9,25,0,7.6,0,198.86
58,99185,3,1267,525,9.1,5.7,13,11.6,19.4,11.2,16.2,12.4,0,1.3,0,209.21
59,98537,6,2018,797,0.3,5.5,7.3,11.8,16.9,25.5,17.1,10.8,2.5,2.4,0,337.27
60,98564,5,2031,908,5.2,3.4,20,9.7,18.2,21.6,7.8,9.6,3.3,1.2,3,265.21
61,98849,5,1250,479,2.7,4.4,7.3,18.8,16.7,30.1,9.2,10.4,0,0.4,0,326.65
62,99169,14,2521,1010,6.3,5,11.9,9.4,20.3,18.1,9.1,10.4,7.9,1.6,9,228.72
63,98951,7,13582,3598,6.1,6.9,13.1,16.6,18.2,19.1,9.8,8.3,1.1,0.9,1,291.78
64,98547,4,1114,529,0,26.3,14.9,7.6,21.2,12.1,13.2,2.5,0,2.3,0,244.28
65,98937,8,3646,1484,2,1.6,9.3,6.7,21.9,30.9,13.4,9.3,3,1.9,0,295.3
66,98588,12,1570,756,5.7,3.6,19.4,6.5,5.4,26.7,6.5,9.8,8.7,7.7,0,298.44
67,98823,27,11336,3745,5.3,5.3,9.5,8.2,12.6,23.6,19.9,11.6,0.7,3.2,2,367.14
68,99025,13,5067,1892,2.7,0.8,3.4,7.2,14,20.6,17.9,26.3,4.8,2.3,0,467.77
69,98363,64,14210,5553,7.5,6.1,10.6,10.8,14.6,23.6,11,11.3,3.7,0.8,8,565.62
70,99033,2,1020,399,4,7,13.5,9.8,19,16.8,18.8,9.5,0,1.5,0,248.43
71,98651,15,816,323,1.9,1.2,5.3,11.1,21.1,20.7,13,14.9,2.2,8.7,0,264.62
72,98862,30,2360,1001,5.9,7.2,5.8,11.2,11,22.6,24,5,5,2.4,5,267.74
73,98538,1,236,97,3.1,8.2,7.2,13.4,17.5,11.3,14.4,14.4,8.2,2.1,0,337.27
74,99156,19,8122,3416,10.5,7.9,12.6,13.5,13.1,20.1,12.2,6.1,2.9,1,2,461.88
75,98251,27,4259,1812,7.6,4.2,7.7,7.3,12,15.8,19.3,19.7,3.2,3.1,0,367.4
76,98528,60,9402,3202,4.2,4.7,11.5,8.1,11.5,23.5,13.6,13.7,4.2,4.9,2,472.4
77,98611,33,10174,3878,3.6,2.4,11.6,9.4,12.5,22.5,16.5,16.4,3.5,1.6,2,389.17
78,98833,6,143,51,0,0,15.7,0,52.9,13.7,0,17.6,0,0,1,459.78
79,98443,31,5821,2239,3.8,0.8,9.4,10.5,9.6,20.6,13.6,16.8,10.7,4.2,0,866.43
80,99216,59,25259,10390,5.7,4.8,15.2,12.4,18.4,19.3,12,8.4,2.7,1.1,10,858.49
81,98243,1,472,217,5.5,4.6,0,9.2,7.4,8.3,23,30.4,7.8,3.7,0,254.39
82,98433,47,18335,3958,3.2,0.9,6.4,17.9,27,28.3,11,4.9,0.3,0,1,365.54
83,99133,3,1675,754,15.4,6,8.6,12.7,19.5,16.3,6.5,12.7,0.5,1.7,0,198.86
84,98674,102,11776,4093,3.1,2.6,8.3,9.3,11.8,26,12.6,15.8,6.3,4.3,1,408.45
85,98626,82,24068,9098,10,6.1,10.7,10.4,15,20.1,11.6,12,3.3,0.9,16,705.62
86,98331,7,6382,2439,10.7,7.4,13.7,18.8,16.1,16.3,9.6,6.2,0.5,0.7,20,274.2
87,98648,35,2775,1230,11.9,8.4,9.3,11.9,9.8,24.3,8.8,10.9,3.3,1.5,8,253.27
88,99003,10,4744,1977,5.7,3.4,8.2,7.4,13.8,21.6,15.2,15.3,6.7,2.7,0,412.66
89,98337,23,6765,2999,10.9,10,11.6,14.3,9.7,17.7,14.7,5.3,4.9,0.7,16,463.51
90,98286,6,199,87,1.1,11.5,10.3,8,10.3,9.2,11.5,13.8,10.3,13.8,0,895.84
91,99180,3,1015,368,12.5,6.5,11.4,17.9,6.5,19.3,6.5,12.5,4.3,2.4,0,228.72
92,98596,23,7027,2522,7.1,3.8,15,11.6,20.7,15.9,13,10.5,2.2,0.2,0,394.34
93,99204,33,5832,3374,16.4,10.4,18.5,13.8,11.9,9.8,9.1,7.6,1.5,1.2,3,408.6
94,99403,27,20080,8474,7.5,6.9,12.8,13.6,16,16.9,11.8,8.7,4.8,1.1,2,650.19
95,98360,102,12944,4392,2.1,2.4,4.1,8,11.5,19.4,23.9,20.3,6.3,1.9,0,388.8
96,99006,39,12155,4354,4.6,3.4,8.1,11.4,16.7,19,16.3,14.7,3.8,2.1,2,408.24
97,99114,27,11764,5011,9.2,5.7,11,11.7,17.2,17.6,12.6,10.4,2.8,1.7,4,378.01
98,98812,8,5098,1545,9.2,7.1,15.2,13.3,17.8,13.4,9.3,9.7,2.3,2.8,0,239.77
99,98620,22,7095,2792,13.7,6,9.2,12.4,10.9,25.9,11.4,10.1,0,0.4,0,366.17
